r,dr,v,dv
3.2, 0.232, 147.862, 7.79
3.52, 0.251, 154.327, 7.97
3.87, 0.282, 162.777, 10.1
4.26, 0.306, 168.202, 8.43
4.69, 0.349, 165.788, 6.87
5.15, 0.355, 164.435, 8.38
5.67, 0.421, 164.227, 12
6.24, 0.426, 165.256, 16.6
6.86, 0.521, 162.541, 13
7.55, 0.464, 159.953, 9.65
8.3, 0.587, 153.695, 15.8
9.13, 0.691, 135.559, 24.2
10, 0.719, 130.993, 35.2
11, 0.825, 143.25, 49.6
12.2, 0.83, 147.786, 49.9
13.4, 1.01, 139.471, 54.5
14.7, 1.27, 148.396, 64.7
18.5, 5.93, 155.014, 59.9
24, 8.61, 154.225, 70.6
31.2, 11.3, 149.428, 75.1
40.6, 14.4, 138.075, 64.5
52.8, 15.4, 119.17, 56.3
68.6, 18.5, 130.934, 49.6
89.2, 19.1, 125.232, 58.2
116, 29.8, 94.1345, 64.1
151, 55.5, 67.578, 64.2
196, 81.2, 83.5415, 110
