r,dr,v,dv       
3.2,0.232,197,7.79
3.52,0.251,201,7.97
3.87,0.282,207,10.1
4.26,0.306,211,8.43
4.69,0.349,209,6.87
5.15,0.355,208,8.38
5.67,0.421,208,12
6.24,0.426,209,16.6
6.86,0.521,207,13
7.55,0.464,205,9.65
8.3,0.587,200,15.8
9.13,0.691,186,24.2
10.,0.719,182.,35.2
11,0.825,190,49.6
12.2,0.83,192,49.9
13.4,1.01,184,54.5
14.7,1.27,189,64.7
18.5,5.93,189,59.9
24,8.61,182,70.6
31.2,11.3,172,75.1
40.6,14.4,157,64.
52.8,15.4,136,56.3
68.6,18.5,143,49.6
89.2,19.1,135,58.2
116,29.8,104,64.1
151,55.5,77.9,64.2
196,81.2,90.2,110
