r,dr,v,dv
10.5 ,  0, 249.72 , 13.44
11.44 , 0, 261.96 , 11.71
12.51 , 0, 284.3  , 17.5
13.53 , 0, 271.54 , 15.57
14.59 , 0, 251.43 , 25.6
16.05 , 0, 320.7  , 25.27
18.64 , 0, 286.46 , 101.18
26.3  , 0, 189.64 , 6.74
28.26 , 0, 237.99 , 11.54
29.51 , 0, 209.82 , 9.16
32.04 , 0, 179.14 , 6.65
33.99 , 0, 170.37 , 6.93
36.49 , 0, 175.92 , 6.62
38.41 , 0, 191.57 , 11.73
40.42 , 0, 197.59 , 14.12
42.4  , 0, 192.79 , 5.92
44.49 , 0, 213.22 , 17.17
45.99 , 0, 179.39 , 11.23
48.06 , 0, 213.03 , 24.72
49.49 , 0, 178.57 , 17.63
51.39 , 0, 183.31 , 23.58
53.89 , 0, 157.89 , 19.57
56.89 , 0, 191.76 , 24.35
57.98 , 0, 210.72 , 29.81
60.92 , 0, 168.02 , 25.67
64.73 , 0, 206.47 , 36.27
69.31 , 0, 203.62 , 40.89
72.96 , 0, 190.53 , 40.89
76.95 , 0, 222.72 , 74.37
81.13 , 0, 186.29 , 66.53
84.9  , 0, 122.25 , 36.46
89.35 , 0, 143.95 , 29.49
92.44 , 0, 154.66 , 67.23
97.41 , 0, 184    , 72.86
100.72, 0, 108.68 , 40.99
106.77, 0, 137.15 , 53.17
119.98, 0, 150.18 , 25.46
189.49, 0, 125.01 , 37.32
